PDF_ID	Calc	Assumptions
2745	"
To calculate the specific tension of the VL muscle in this study, the following steps were taken:
1. Measure the torque produced by the VL muscle during maximum voluntary contraction (MVC) using an isokinetic dynamometer.
2. Calculate the force produced by the VL muscle during MVC by dividing the torque by the moment arm (MA) of the VL muscle (MA = 0.08 m).
3. Measure the pennation angle (PA) of the VL muscle during MVC using ultrasound imaging.
4. Calculate the fascicle force of the VL muscle by dividing the VL muscle force by the cosine of the PA (fascicle force = VL muscle force / cos(PA)).
5. Measure the optimal fiber length (FL) of the VL muscle during MVC using ultrasound imaging.
6. Calculate the physiological cross-sectional area (PCSA) of the VL muscle by dividing the muscle volume by the FL (PCSA = muscle volume / FL^2).
7. Calculate the specific tension of the VL muscle by dividing the fascicle force by the PCSA (specific tension = fascicle force / PCSA).
8. Statistical analyses were performed using the software pack SPSS 23 (IBM Corp, Armonk, NY)."	"
There are no weaknesses in the calculation of specific tension outlined in the study. The authors calculated the specific tension of the VL muscle by dividing the VL fascicle force by the VL PCSA (Maga-naris et al., 2001; Narici et al., 1992), which was calculated by dividing the muscle volume by the optimum FL (measured at optimal angle during MVCs). The authors ensured that the right region of the muscle was scanned by holding the probe in place using an external device secured by the experimenter and fixed with double-sided adhesive skin interfaces. The use of an echo-absorptive external marker ensured that no probe movement occurred in relation to the digitized structure. The authors also verified the assumption of normality using the Shapiro–Wilk test."
2649	"
To calculate specific tension in this study, the following steps were taken:
1. Calculate the PCSA of the quadriceps femoris (QF) using the estimated QF volume divided by the fascicle length (Lf) measured during MVC at optimum joint angle, assuming that VL Lf measured during MVC at optimum joint angle was representative of the mean Lf for the entire QF.
2. Calculate QFrPCSA by dividing QF PCSA by C1coshpVL, where VL hp was assumed to be representative of the mean QF hp.
3. Calculate QF specific tension by dividing Ft (tendon force) by rPCSA QF.
4. The standard error of the estimate (SEE) of the regression equation was assessed to determine the accuracy of the estimate of PCSA and specific tension using Method 2 compared to Method 1 and was calculated using the following equation: SEE = SD/C1p1/C0R2/C0/C1. The absolute value was then expressed as a percentage of the mean value of Method 1.
5. A one-way analysis of variance (ANOVA) was used to compare the mean fascicle length and pennation angle of each component muscle with the weighted mean QF fascicle length and pennation angle measured in Method 1. If statistical significance was detected, Dunnett's multiple comparison post hoc test was used to locate the difference(s). Statistical significance was accepted when P < 0.05."	"

The study did not explicitly mention weaknesses in the calculation of specific tension in terms of assumptions in measuring muscle force or volume. However, the study did acknowledge that there are extrinsic factors that may affect the measured force, such as voluntary muscle activation, antagonist muscle co-contraction, moment arm length, the angle at which the muscle fibers insert into the tendon, and the infiltration of non-contractile material within the muscle. These factors may explain some of the variation in muscle strength between healthy, untrained individuals of similar age, but some of the variation remains unexplained, implying differences in maximum force per unit cross-sectional area of muscle between people. The study aimed to determine a minimal set of measurements that may be used to provide reliable estimates of QF specific tension in vivo by investigating the extent to which extrinsic factors affect the measured force."
2648	"
To calculate specific tension in this study, the following steps were taken:
1. Measurement of torque: The maximal quadriceps tendon force was calculated from the knee extension maximal voluntary contraction (MVC) by accounting for EMG-based estimates of antagonist co-activation, incomplete quadriceps activation using the interpolation twitch technique, and magnetic resonance imaging (MRI)-based measurements of the patellar tendon moment arm.
2. Calculation of PCSA: The PCSA was calculated as the muscle volume, measured from MRI scans, divided by optimal fascicle length, measured from ultrasound images during MVC at the estimated angle of peak quadriceps muscle force.
3. Calculation of specific tension: Specific tension was calculated as the ratio between the quadriceps tendon force and the sum of the physiological cross-sectional area (PCSA) multiplied by the cosine of the angle of pennation of each head within the quadriceps muscle. The formula used was:
Speci?c tension =(tendon force ×cos??1)/PCSA (3)
where ?is the angle of pennation and therefore tendon force×cos??1is equal to the fascicle force, and PCSA is equal to the ratio between muscle volume and optimal fascicle length. By incorporating the size and architecture measurements of all four quadriceps heads in the calculation of a specific tension for the entire quadriceps muscle, the errors associated with distributing the tendon force between the separate heads were minimized. The PCSA ×cos?of the entire quadriceps was therefore calculated as the sum of the PCSA ×cos?of each quadriceps head. The F quad w a st h e nd i v i d e db yt h e quadriceps PCSA ×cos?to determine the speci?c tension of the entire quadriceps muscle."	"
The potential error introduced by measuring muscle architecture at MVC and in some instances not at optimal joint angle was small (?4%), but it may still have an impact on the validity of the specific tension estimates. Additionally, the fact that muscle forces were not maximal due to the use of percutaneous electrical stimulation in a previous study may have led to an underestimation of specific tension values reported in that study. Cross-talk between quadriceps and hamstrings EMG may also affect the estimated level of antagonistic joint moment, but it has been shown that the magnitude of cross-talk between knee extensors and flexors is generally small, hence unlikely to have had a significant effect for the EMG measurements in the adults. However, the fact that the large size of the magnetic stimulation coil prevented the placement of the ultrasound probe over the necessary region of the muscles may have compromised the validity of the calculated specific tension due to the assumption that the muscle force and volume were measured at optimal sarcomere length and during voluntary activation rather than full activation."
3042	"
To calculate specific tension (force per cross-sectional area) for this study, the following steps can be followed:
1. Measure the torque produced by the muscle during an isometric contraction using a dynamometer or other appropriate device.
2. Calculate the force produced by the muscle by dividing the torque by the moment arm length (the distance between the axis of rotation and the line of action of the force).
3. Measure the physiological cross-sectional area (PCSA) of the muscle using histological techniques or other appropriate methods.
4. Calculate the specific tension (force per cross-sectional area) by dividing the force produced by the muscle by the PCSA.
5. Repeat steps 1-4 for multiple contractions to obtain an average specific tension value for the muscle.
6. Compare the specific tension values obtained for this study to those reported in the literature to determine if the values fall within the range of normal values for the muscle type being studied."	"

The study by Dowling (1994) emphasizes the importance of using the best fitting specific tension in the calculation of individual muscle forces rather than relying on a single value taken from literature. However, the study also acknowledges that even when electrical stimulation is used to eliminate motivational differences, a considerable range of specific tensions still persists. This highlights a weakness in the calculation of specific tension, which may involve assumptions in measuring muscle force or volume. The study by Haggmark et al. (1994) also suggests that the correlation between muscle CSA and limb size may be higher if the muscle is related to the extensor area rather than the total thigh musculature due to differences in functional muscle groups within the limb. Therefore, the calculation of specific tension may require more precise measurements of muscle force and volume to better isolate the effect of inter-subject differences of muscle force per CSA on individual muscle force predictions."
4135	"
To calculate specific tension (N/cm2) for the gastrocnemius (GL) muscle in this study, the following steps were taken:
1. Measurement of torque (Nm) was obtained using an isokinetic dynamometer during voluntary plantarflexion contractions at an angular velocity of 60°/s.
2. The moment arm length (cm) was calculated as the perpendicular distance from the center of rotation of the talocrural joint to the Achilles tendon action line.
3. Achilles tendon force (N) was calculated by dividing PF torque by the moment arm length.
4. The PCSA (cm2) of the GL muscle was calculated as the ratio of GL volume (cm3) to Lf (cm). Lf was measured using ultrasound at the time point of superimposed stimulation to ensure accuracy.
5. The relative PCSA of the GL within the triceps surae was calculated to estimate the contribution of the GL to Achilles tendon force. This method has been previously reported (Narici et al., 1992).
6. Specific tension (N/cm2) for the GL muscle was calculated by dividing GL fascicle force (N) by the PCSA (cm2).
7. The specific tension for the GL muscle was then compared to previous studies to determine if it was increased during voluntary plantarflexion contractions at an angular velocity of 60°/s."	" The calculation of specific tension in this study involves considering the sum of torque generated during the strongest MVC and that of the twitch-doublet at the true maximal MVC. However, the value of torque calculated with this method probably represents a peak MVC rather than the true maximal MVC that would have been obtained by adding a tetanus rather than a doublet to the voluntary torque. This assumption is made due to the fact that delivering a tetanic current is extremely painful for older individuals involved in the study. Therefore, the calculation of specific tension in this study may have some weakness in terms of accurately measuring muscle force or volume."
4070	"
To calculate specific tension (N/cm²) in this study, the following steps need to be taken:
1. Measure maximal isometric muscle force (N) using an appropriate method such as an isokinetic dynamometer or force plate.
2. Calculate the tendon moment arm length (cm) using anatomical landmarks and goniometry.
3. Measure muscle pennation angle (degrees) using ultrasound imaging or MRI.
4. Calculate muscle physiological cross-sectional area (PCSA) using muscle volume (cm³) and muscle fiber or fascicle length (cm). Muscle volume can be calculated using the formula:
   V = (L × W × H) × 0.5236
   where L = muscle length (cm), W = muscle width (cm), and H = muscle height (cm).
   Muscle fiber or fascicle length can be measured using ultrasound imaging or MRI.
5. Calculate specific tension (N/cm²) using the formula:
   Specific tension = (maximal isometric muscle force × tendon moment arm length) / (PCSA × muscle pennation angle)
   where PCSA = muscle volume × (1 - cos²(muscle pennation angle)) / (muscle fiber or fascicle length × muscle pennation angle)
   Note: The cosine squared function is used to correct for the fact that muscle fibers or fascicles are not perfectly aligned with the tendon moment arm.
6. Repeat the above steps for each muscle being studied to obtain specific tension values for each muscle."	"

The weakness in calculation of specific tension in previous attempts to assess alterations in specific force with strength training in elderly humans lies in errors in assessing one or both of the factors necessary for specific force determination. Instead of measuring muscle force, joint torque or weight lifting capacity has been used, which does not accurately reflect only the agonist muscle forces (25). Additionally, a single anatomic cross-sectional area (ACSA) has typically been used to normalize these strength measurements to muscle size (44, 49), but this approach seems inappropriate because it does not take into account muscle geometry and training-induced changes thereof (35), thus underestimating the physiological cross-sectional area (PCSA) of a pennate muscle (1, 16, 21)."
4127	"
To calculate the specific tension of a muscle, we need to determine the muscle force (F), PCSA (physiological cross-sectional area), and muscle volume (MV). In this study, we can measure the joint torque (TQ) instead of muscle force. The steps to calculate specific tension using torque, PCSA, and MV are:
1. Measure the joint torque (TQ) for the muscle of interest during a specific task (e.g., knee extension).
2. Calculate the muscle force (F) using the following formula: F = TQ/lever arm (LA), where LA is the distance from the joint center to the line of action of the muscle force.
3. Calculate the PCSA of the muscle using the following formula: PCSA = (MV/L) * (cos(?) * sin(?)) / (cos(?) * sin(?) + (L * tan(?))), where MV is the muscle volume, L is the length of the muscle, and ? is the pennation angle (the angle between the muscle fibers and the line of action of the muscle force).
4. Calculate the specific tension (ST) using the following formula: ST = F/PCSA.
Note that the calculation of PCSA requires the measurement of muscle volume, which can be challenging in vivo. Therefore, some researchers have used the joint torque per muscle volume (TQ/MV) or muscle mass as an index of muscle strength per size. However, the relationship between TQ/MV and specific tension is not always equivalent to the PCSA-F relationship due to differences in muscle fiber/moment arm ratio among individuals."	"

The weakness in calculating specific tension in this study lies in the difficulty of precisely measuring all the variables required to calculate the PCSA of a muscle in vivo, notably in survey examining a large population. While theoretically, the specific tension of a muscle can be determined by dividing muscle force (F) by PCSA, the calculation of PCSA requires the determination of muscle volume (MV), muscle fiber length, and muscle fiber pennation angle. However, measuring all these variables in vivo can be challenging, especially in large population studies. Therefore, some researchers have used joint torque per muscle volume (TQ/MV) or muscle mass as an index of muscle strength per size, assuming an identical muscle fiber/moment arm ratio for different individuals. However, it is unclear whether TQ/MV is a substitute for specific tension in elderly individuals."
2664	"

To calculate specific tension (ST), we can use the formula:
ST = (Ft × L) / (PCSA × L)
where Ft is the maximal force resolved at the patellar tendon, L is the length of the muscle-tendon unit (MTU), and PCSA is the physiological cross-sectional area of the muscle.
To obtain Ft, we first determine the true maximal torque (TMT) by correcting the measured maximal voluntary torque (MVC) for QF muscle activation and antagonist muscle coactivation. This can be done using the interpolated twitch technique (Rutherford et al., 1986b). The patellar tendon moment arm (dPT) can also be determined via MRI (Tsaopoulos et al., 2006).
To calculate PCSA, we measure the anatomical cross-sectional area (ACSA) of each component QF muscle using transverse MRI scans at 40% femur length (Erskine et al., 2009). The physiological cross-sectional area (PCSA) can then be calculated by dividing the ACSA by the pennation angle (PA), which is the angle between the muscle fibers and the line of action of the muscle force (Hill, 1970). The PA can be estimated using ultrasonography (MyLab25, Esaote, Genova, Italy).
Once we have Ft, TMT, dPT, ACSA, and PA, we can calculate ST using the formula provided above."	"

The method used to calculate in vivo QF muscle specific tension before and after strength training in the present study was based on an estimate of QF muscle volume from a single anatomical cross-sectional area (ACSA) of the QF muscle, together with the fascicle length (Lf) and pennation angle (?p) of the VL muscle. This method has provided similar QF musclespecific tension values to those obtained using a more comprehensive approach in which the volume and optimal architecture of each component muscle of the QF muscle group was considered in a large cohort of untrained young men (Erskine et al. 2009). However, the determination of QF muscle specific tension from measurements of all four of the constituent muscles is time-consuming and difficult to use with large numbers of subjects. Therefore, the present study used a simpler method to estimate QF muscle specific tension in all 42 participants. The weakness in this calculation method is that it assumes that the volume of the QF muscle can be accurately estimated from a single ACSA measurement, which may not be the case in all individuals due to variations in muscle shape and size. Additionally, the method assumes that the pennation angle of the VL muscle can be used to estimate the pennation angle of the other constituent muscles of the QF muscle group, which may also introduce errors in the calculation of specific tension."
2653	"
To calculate specific tension, the following steps can be followed:
1. Measure the maximum voluntary torque (MVT) of the quadriceps femoris (QF) muscle using an isokinetic dynamometer at a specific angular velocity (usually 60°/s).
2. Calculate the maximum force (Fmax) produced by the QF muscle during the same test by dividing the measured torque by the moment arm length (r) of the dynamometer lever arm (usually 0.35 m).
3. Measure the pennation angle (?) of the QF muscle using ultrasound imaging to determine the angle between the muscle fibers and the tendon.
4. Calculate the physiological cross-sectional area (PCSA) of the QF muscle using the following formula:
   PCSA = (CSA × cos?) / Lf
   where CSA is the measured cross-sectional area of the QF muscle at the mid-point of the muscle length (Lf), and cos? is the cosine of the pennation angle (?).
5. Calculate the specific tension (ST) of the QF muscle by dividing the maximum force (Fmax) by the physiological cross-sectional area (PCSA):
   ST = Fmax / PCSA
   where ST represents the force per unit area of the QF muscle.
6. Repeat steps 1-5 for each participant in the study to obtain individual values for MVC torque, Fmax, PCSA, and ST.
7. Analyze the data using statistical methods to determine the range of human muscle responses to resistance training with regard to changes in QF muscle strength and size."	"

One weakness in calculating specific tension in this study could be the assumption that the level of non-contractile material in the muscle of young, healthy male individuals is relatively small (Holmback et al., 2002). This assumption may not hold true for all individuals, especially those with pre-existing conditions or those who have undergone previous strength training programs. Additionally, the accuracy of measuring muscle force and volume may also affect the calculation of specific tension."
2899	"

To calculate the specific tension of m. quadriceps femoris, the following steps were taken:
1. Measurement of maximal isometric torque: The highest recording was multiplied by cos 35"" times the lever arm (distance from knee joint to ankle cuff) (see Table 1). This value was defined as the maximal isometric torque.
2. Measurement of force: Force was then recorded at velocities between 40 and 800"" s-'. Velocity was measured with the two photocells placed at 120"" and 130"" of knee extension. Registration was performed at the ankle cuff.
3. Calculation of PCSA: The ratio of moment arm (0.038 m in young subjects according to Ekholm et al. 1984) and lever arm (0.39 m within the young group) was assumed to be 1/10 for all subjects.
4. Calculation of specific tension: The specific tension of m. quadriceps femoris was calculated by dividing the maximal isometric torque (step 1) by the PCSA (step 3). This value represents the force per unit cross-sectional area of the muscle."	"

One potential weakness in the calculation of specific tension in this study is the assumption that the ratio of Ef (the ratio of the force exerted by the muscle to the force exerted by the tendon) is the same for all subjects between the moment arm (0.038 m and 0.029 m in young subjects according to Edgerton et al., 1986) and the lever arm (0.35 m within the young group) (page_label: 3, file_path: /content/processed_pdf/2899 Klitgaard et al. - 1990 - Function, morphology and protein expression of age.pdf). This assumption may not hold true for all subjects due to variations in muscle length, tendon stiffness, and other factors that can affect the Ef ratio. Additionally, the study assumes a 31% contribution to total force output by m. biceps brachii and a 30% contribution to total force output by m. brachialis respectively (Edgerton et al., 1986), which may also be subject to variability between individuals. Finally, the study assumes an increase of 34% in the cross-sectional area in the flexed position (Ikai & Fukunaga, 1968), which may also be subject to variability between individuals and may not hold true for all subjects in this study."
